Place,Name,Bib,Division,Nation,Swim,Bike,Run,Race,Date,Location
13,Vanessa Kelley,227,F35-39,USA,02:51:23,01:37:28,04:31:29,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
52,Enrique Lopez Quiros,2326,M35-39,CRI,02:38:09,01:48:47,04:31:34,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
23,Mike Molano,3104,M50-54,USA,02:40:57,01:46:56,04:31:35,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
14,Alisha Rice,1159,F35-39,USA,02:40:21,01:47:12,04:31:40,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
58,Alejandro Orellana Silva,599,M30-34,MEX,02:45:36,01:38:08,04:31:46,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
4,Danielle Many,340,F45-49,USA,02:53:34,01:35:22,04:31:47,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
53,TJ Generoso,2262,M35-39,USA,02:48:18,01:40:58,04:31:49,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
5,Carolyn Soules,3433,F40-44,USA,02:43:59,01:44:48,04:32:00,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
24,Owen Barder,2998,M50-54,GBR,02:43:14,01:44:41,04:32:06,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
9,Brooke Giuffre,962,F30-34,USA,02:48:37,01:40:30,04:32:07,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
5,Katie Fast,1391,F45-49,USA,02:44:37,01:43:19,04:32:08,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
54,Christian Magnusen,2332,M35-39,USA,02:38:44,01:49:12,04:32:08,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
59,Kevin Padrez,3468,M30-34,USA,02:39:41,01:47:56,04:32:12,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
60,Mike Davis,3464,M30-34,USA,02:29:56,01:59:44,04:32:22,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
25,David Mark,3098,M50-54,USA,02:34:13,01:53:30,04:32:25,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
37,Ross Laver,2578,M40-44,GBR,02:37:39,01:51:39,04:32:26,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
15,Maria Belen Valdovinos,328,F35-39,PRY,02:46:37,01:42:36,04:32:35,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
12,Greg Watkins,704,M55-59,USA,02:41:46,01:47:12,04:32:40,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
42,John Layton,2849,M45-49,USA,02:36:07,01:53:20,04:32:41,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
6,Kristin Brink,1205,F40-44,USA,02:50:28,01:39:55,04:33:11,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
38,Tom Waller,2685,M40-44,GBR,02:39:39,01:49:55,04:33:21,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
43,Mikael Rudolfsen,467,M45-49,USA,02:42:05,01:48:33,04:33:23,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
55,Brian Luman,2328,M35-39,USA,02:38:34,01:52:49,04:33:44,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
