Place,Name,Bib,Division,Nation,Swim,Bike,Run,Race,Date,Location
38,Joe Jacquinot,1585,M 35-39,USA,02:45:58,01:43:30,04:31:11,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
39,Timothy Finn,1488,M 35-39,USA,02:34:56,01:54:42,04:31:13,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
11,Stephanie Seibert,366,F 25-29,USA,02:45:25,01:44:35,04:31:15,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
3,David Johnson,230,M 60-64,USA,02:39:22,01:49:50,04:31:18,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
40,Matt Palmer,993,M 35-39,AUS,02:31:03,01:58:31,04:31:19,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
30,Mark Tisdale,1514,M 40-44,CAN,02:34:54,01:54:38,04:31:20,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
17,John Rupcich,1321,M 50-54,USA,02:40:38,01:46:04,04:31:20,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
35,Ray Taddeucci,222,M 45-49,USA,02:44:15,01:44:45,04:31:24,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
36,Kevin Breitzmann,276,M 45-49,USA,02:38:04,01:50:29,04:31:31,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
37,Jailson Pereira,1209,M 45-49,USA,02:44:53,01:45:01,04:31:41,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
35,Drew Davis,831,M 30-34,USA,02:48:15,01:40:21,04:31:43,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
38,Dan Worley,1255,M 45-49,USA,02:41:53,01:48:24,04:31:48,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
13,Daniel Thompson,710,M 18-24,USA,02:43:09,01:47:38,04:32:02,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
6,Paul Riehemann,1376,M 55-59,USA,02:33:11,01:57:15,04:32:14,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
31,Anthony Casey,1578,M 40-44,USA,02:41:16,01:47:16,04:32:14,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
41,Matt Lyons,974,M 35-39,USA,02:29:36,02:01:07,04:32:25,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
39,Cory Sorice,1230,M 45-49,USA,02:30:59,01:59:06,04:32:27,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
18,Shane Mcmahon,1309,M 50-54,USA,02:48:36,01:40:18,04:32:41,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
36,Lee Guelzow,845,M 30-34,USA,02:34:53,01:54:51,04:32:43,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
40,Daniel Rubenstein,1223,M 45-49,USA,02:39:13,01:51:45,04:32:48,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
42,Nathan Malek,975,M 35-39,USA,02:43:21,01:47:28,04:33:10,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
14,Zach White,715,M 18-24,USA,02:45:25,01:45:23,04:33:10,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
43,Stephen Soderstrom,210,M 35-39,USA,02:40:44,01:50:10,04:33:25,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
44,Jonathan Miller,1492,M 35-39,USA,02:43:57,01:48:36,04:34:44,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
41,Chip Beard,1135,M 45-49,USA,02:41:46,01:51:32,04:34:45,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
45,Michael Karau,961,M 35-39,USA,02:39:23,01:52:31,04:34:55,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
9,Katherine Tobin,493,F 35-39,USA,02:37:30,01:56:14,04:35:01,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
46,Kevin Duffy,938,M 35-39,USA,02:40:14,01:52:59,04:35:02,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
19,Dennis Shebesta,1327,M 50-54,USA,02:41:36,01:51:28,04:35:03,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
47,Nathanael Noon,991,M 35-39,USA,02:44:23,01:48:50,04:35:10,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
20,David Gale,1537,M 50-54,VIR,02:37:41,01:55:22,04:35:39,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
37,Aalok Sharma,890,M 30-34,USA,02:41:25,01:50:34,04:35:45,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
48,Chris Roberts,209,M 35-39,USA,02:39:48,01:52:05,04:35:48,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
49,David Baugh,915,M 35-39,USA,02:52:07,01:41:25,04:35:49,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
38,Kj Whigham,905,M 30-34,USA,02:46:07,01:48:03,04:35:51,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
32,Matt King,1075,M 40-44,USA,02:41:22,01:52:47,04:35:52,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
33,Jason Long,1080,M 40-44,USA,02:41:14,01:52:18,04:35:58,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
34,John Leonard,1078,M 40-44,USA,02:36:52,01:56:55,04:36:01,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
50,Florian Hahn,949,M 35-39,DEU,02:54:40,01:40:07,04:36:03,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
35,Todd Yelland,1127,M 40-44,USA,02:37:01,01:57:30,04:36:07,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
21,Timothy Belleau,1267,M 50-54,USA,02:29:37,02:04:30,04:36:19,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
4,Megan Gustafson,528,F 40-44,USA,02:42:02,01:51:36,04:36:19,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
