Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,11,Race,Date,Location
85,Gwynne Riggen,1292,F40-44,USA,00:32:52,00:05:21,00:08:43,17:24:37,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
54,Victoria (vicky) Deleacaes,1609,F50-54,USA,00:35:53,00:05:28,00:05:04,17:24:36,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
152,Todd Schartner,3329,M50-54,USA,00:41:28,00:04:28,00:04:55,17:24:34,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
190,Chris Morris,3000,M45-49,USA,00:37:27,00:07:05,00:06:59,17:24:33,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
145,Albert Hermsen,2103,M30-34,USA,00:33:33,00:04:16,00:06:03,17:24:33,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
213,Douglas Grant,2576,M40-44,USA,00:37:57,00:07:07,00:06:33,17:24:31,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
214,Seth Meiderdrut,2646,M40-44,USA,00:42:36,00:05:15,00:06:50,17:24:25,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
215,Damien Rodulfo,2698,M40-44,USA,01:02:11,00:04:11,00:07:33,17:24:16,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
84,Erika Stack,1126,F35-39,USA,00:40:24,00:03:41,00:04:45,17:24:15,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
146,Brent Woolsey,2207,M30-34,USA,00:37:14,00:09:21,00:06:43,17:24:10,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
27,Chuck Messick,769,M60-64,USA,00:35:09,00:02:34,00:03:59,17:24:10,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
162,Thomas Ruzich,2405,M35-39,USA,00:39:53,00:07:35,00:06:35,17:24:03,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
86,Michelle Szekeres,1323,F40-44,USA,00:41:45,00:07:07,00:06:17,17:23:59,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
191,Francis (joe) Kennard,2934,M45-49,USA,00:36:37,00:04:17,00:05:27,17:23:54,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
163,Neil Agnihotri,2211,M35-39,USA,00:37:02,00:04:38,00:04:16,17:23:52,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
55,Cathy Parker,331,F50-54,USA,00:38:07,00:03:40,00:05:23,17:23:50,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
164,Jason Alisangco,746,M35-39,USA,00:37:19,00:05:03,00:05:27,17:23:47,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
165,Daryl Reynolds,2396,M35-39,USA,00:35:54,00:04:40,00:03:31,17:23:22,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
72,Thomas Vinton,2013,M25-29,USA,00:40:07,00:04:21,00:04:23,17:23:21,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
37,Sarah Wilcox,881,F25-29,USA,00:39:32,00:05:56,00:05:28,17:23:06,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
