Place,Name,Bib,Division,Nation,Swim,Bike,Run,Race,Date,Location
158,Andrei Varlamov,2275,M 45,RUS,00:41:05,02:02:27,02:50:09,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
182,Dominic Gritsch,954,M 25,AUT,00:46:57,01:54:33,02:50:09,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
253,Kurt Kaiser,1249,M 30,AUT,00:39:47,02:04:48,02:50:10,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
244,Bruno Rückstein,1976,M 40,SUI,00:31:58,02:12:38,02:50:13,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
252,Anders Nørgaard,1630,M 35,DEN,00:46:09,01:56:17,02:50:16,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
183,Andrei Ene,934,M 25,ROM,00:44:51,01:55:04,02:50:17,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
-,Jolie Minneboo,2834,M ,NED,00:36:07,02:10:51,02:50:21,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
-,Amy Gough,2805,M ,GBR,00:39:41,02:07:58,02:50:25,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
130,Jens Nielsen,2416,M 50,GER,00:43:47,02:00:33,02:50:27,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
253,Marco Zuliani,1764,M 35,ITA,00:37:28,02:06:38,02:50:27,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
159,Michael Grosch,2125,M 45,GER,00:39:40,02:02:57,02:50:28,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
254,Jonathan Nicholls,1321,M 30,GBR,00:54:00,01:48:23,02:50:29,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
254,Kevin Debruyne,1492,M 35,BEL,00:40:41,02:03:42,02:50:30,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
131,Lars Liebing,2394,M 50,GER,00:48:58,01:55:20,02:50:32,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
43,Katalin Francia,576,F 35,HUN,00:39:35,02:03:39,02:50:34,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
245,Jürgen Herter,1865,M 40,GER,00:38:13,02:03:47,02:50:34,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
255,Martin Fausik,1508,M 35,AUT,00:44:51,01:58:04,02:50:40,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
132,Thomas Mattersdorfer,2402,M 50,AUT,00:42:11,01:59:50,02:50:43,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
44,Eli Cabello,569,F 35,ESP,00:41:44,02:03:46,02:50:48,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
46,Lucy May,420,F 25,GBR,00:38:41,02:07:51,02:50:53,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
246,Joris De Vuyst,1807,M 40,BEL,00:43:59,01:58:35,02:50:56,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
184,Roland Szabadics,1072,M 25,HUN,00:49:32,01:53:54,02:50:59,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
133,Chas Gardner,2342,M 50,GBR,00:51:04,01:53:47,02:50:59,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
65,Samuel Schäfer,857,M 18,GER,00:39:31,02:04:37,02:51:03,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
134,Paul Hutchinson,2372,M 50,GBR,00:45:50,02:00:59,02:51:03,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
255,Florian Kieser,1258,M 30,GER,00:49:27,01:52:47,02:51:03,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
256,Arnau Vila Llavina,1415,M 30,ESP,00:44:58,01:59:28,02:51:08,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
135,Stuart Harrod,2357,M 50,GBR,00:45:56,01:58:06,02:51:15,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
256,Alexander Föderler,1517,M 35,AUT,00:42:08,02:00:34,02:51:17,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
10,Gabriele Rachello,2598,M 60,ITA,00:44:29,01:58:40,02:51:21,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
35,Veerle De Vuyst,647,F 40,BEL,00:45:23,02:01:21,02:51:26,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
257,Benjamin Abgottspon,1109,M 30,SUI,00:46:36,02:00:37,02:51:27,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
