Place,Name,Bib,Division,Nation,Swim,Bike,Run,Race,Date,Location
6,Team 郑州铁三一队,1063,RELAY-MIX,CHN,03:23:13,02:05:24,05:30:58,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
8,雪薇 陆,811,F25-29,CHN,03:12:21,02:09:11,05:31:17,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
3,Fukumoto Nagako,982,F55-59,JPN,03:19:47,02:08:13,05:31:28,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
56,嘉 王,506,M35-39,CHN,03:07:50,02:14:27,05:31:33,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
57,Jun Zhang,394,M35-39,CHN,03:02:50,02:22:49,05:31:39,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
58,Ruoyu Xu,416,M35-39,CHN,03:05:10,02:21:26,05:32:01,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
59,Bo Li,412,M35-39,CHN,03:10:05,02:15:32,05:32:13,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
47,Xiang Liu,676,M45-49,CHN,03:16:03,02:10:08,05:32:19,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
30,Tiong Lin Ang,698,M50-54,SGP,03:09:17,02:18:02,05:33:37,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
17,Lizhi Jiang,217,M25-29,CHN,03:09:01,02:19:13,05:33:54,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
56,Hendrik G Suryadi,523,M40-44,IDN,03:02:14,02:27:15,05:34:12,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
48,明亮 张,673,M45-49,CHN,03:01:15,02:25:51,05:34:32,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
49,Xin Feng,641,M45-49,CHN,03:17:16,02:05:15,05:34:38,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
37,Team 周口铁人队,1072,RELAY-M,CHN,03:46:11,01:46:24,05:34:38,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
57,Haitao Yang,533,M40-44,CHN,03:07:36,02:13:40,05:34:52,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
18,Baizhang Li,263,M25-29,CHN,03:27:00,01:58:04,05:35:34,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
10,Tianjiao Huang,837,F30-34,CHN,03:07:55,02:21:01,05:35:39,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
4,Qing Zhang,805,F18-24,CHN,02:53:10,02:37:02,05:35:45,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
60,Fan Chen,509,M35-39,CHN,03:21:56,02:08:30,05:36:02,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
50,连国 赵,675,M45-49,CHN,03:07:27,02:20:03,05:36:14,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
11,Wenjing Wang,840,F30-34,CHN,03:18:48,02:12:09,05:36:44,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
47,Zhang Meng,295,M30-34,CHN,03:04:17,02:25:36,05:36:47,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
61,涛 黄,514,M35-39,CHN,03:08:42,02:17:10,05:37:29,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
31,Zengchao She,695,M50-54,CHN,03:26:33,02:03:53,05:37:29,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
62,Chengliang Lu,413,M35-39,CHN,03:07:38,02:21:55,05:37:34,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
58,Kevin Lee,544,M40-44,HKG,03:09:37,02:21:32,05:37:37,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
38,Team 男人邦,1007,RELAY-M,CHN,03:19:39,02:16:00,05:37:55,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
63,张 坦,486,M35-39,CHN,03:06:24,02:28:01,05:38:23,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
59,金波 金,613,M40-44,CHN,03:14:16,02:19:01,05:38:36,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
6,Fong Wai Rachel Tam,917,F40-44,HKG,03:26:51,02:02:35,05:38:38,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
19,Wanbin Wu,267,M25-29,CHN,03:02:52,02:29:34,05:39:32,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
7,Lisa Tong-Ng,918,F40-44,CAN,03:08:37,02:25:08,05:39:35,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
51,Yonggang Ci,674,M45-49,CHN,03:12:06,02:22:38,05:39:35,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
13,Team 阳光帅气的狮子王辛巴,1012,RELAY-MIX,CHN,03:24:48,02:10:40,05:39:39,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
9,Qinghong Sun,977,F45-49,CHN,03:22:20,02:12:46,05:40:41,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
4,Livia Zhang,984,F55-59,CAN,03:06:23,02:26:17,05:40:58,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
8,Yue Ying,954,F40-44,CHN,03:25:45,02:04:26,05:41:26,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
52,明洋 陈,682,M45-49,CHN,03:14:29,02:18:28,05:41:41,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
14,Team 旅行团,1006,RELAY-MIX,CHN,03:51:48,01:46:47,05:42:03,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
19,Yi Xie,773,M55-59,CHN,03:16:30,02:15:02,05:42:28,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
32,Koji Kamimura,125,M50-54,JPN,03:14:40,02:18:19,05:42:34,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
33,Rong Gu,694,M50-54,CHN,03:08:01,02:27:22,05:42:49,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
64,Qing Kang,491,M35-39,CHN,03:08:10,02:26:34,05:42:59,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
53,Zhao Zhang,629,M45-49,CHN,03:14:37,02:24:13,05:43:27,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
60,Liang Wang,612,M40-44,CHN,03:08:43,02:28:38,05:43:33,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
54,小战 刘,690,M45-49,CHN,03:05:56,02:28:41,05:43:43,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
9,Hong Guo,955,F40-44,CHN,03:21:40,02:18:32,05:44:47,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
48,自立 朱,358,M30-34,CHN,03:04:34,02:30:52,05:44:55,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
55,宋 力键,623,M45-49,CHN,03:01:30,02:34:25,05:45:20,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
56,Hao Li,628,M45-49,CHN,03:08:31,02:24:52,05:45:20,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
39,Team 海之队,1034,RELAY-M,CHN,03:32:12,02:10:37,05:45:27,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
61,Jun Ya,608,M40-44,CHN,03:24:50,02:15:15,05:45:52,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
65,超 王,492,M35-39,CHN,03:12:38,02:24:33,05:46:03,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
57,胜 汪,630,M45-49,CHN,03:13:37,02:24:21,05:47:06,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
9,Chi Wai Wu,777,M60-64,HKG,03:16:50,02:20:24,05:47:09,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
7,Chi Hung Leung,789,M65-69,HKG,03:13:31,02:27:12,05:47:11,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
20,铭育 刘,254,M25-29,CHN,03:27:19,02:12:48,05:47:17,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
34,强雄qiang Xiong 张zhang,712,M50-54,CHN,03:12:13,02:24:28,05:47:24,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
35,Xianwei Wang,696,M50-54,CHN,03:32:36,02:04:35,05:49:05,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
66,Haisu Sun,390,M35-39,CHN,03:45:54,01:57:55,05:49:11,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
58,Shunchun Yang,672,M45-49,CHN,03:08:54,02:35:04,05:49:13,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
