Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,11,Race,Date,Location
131,Matthias Reul,2365,M 50,GER,00:00:00,06:01:22,04:29:29,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
132,Frank Heise,2259,M 50,GER,00:00:00,06:03:01,04:57:22,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
133,Christian Knaak,2295,M 50,GER,00:00:00,06:06:07,04:45:46,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
208,Patrick Feiter,1643,M 40,NED,00:00:00,05:51:29,04:40:17,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
87,Arne Christoph,911,M 25,GER,00:00:00,05:25:19,05:29:39,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
171,Serge Muylle,267,M 45,BEL,00:00:00,05:32:43,05:12:19,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
209,David Beggs,1572,M 40,IRL,00:00:00,06:01:06,04:47:32,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
211,Christopher Weller,1532,M 35,USA,00:00:00,05:43:58,05:10:00,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
172,Ali Al-Tek,406,M 45,GBR,00:00:00,05:05:39,05:49:47,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
134,Igal Sudry,2402,M 50,ISR,00:00:00,06:12:13,04:31:22,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
212,Willi Wiegand,1535,M 35,GER,00:00:00,06:11:40,04:38:54,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
153,Thomas Buckmann,1043,M 30,GER,00:00:00,05:57:25,04:38:12,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
173,Joost Blontrock,1890,M 45,BEL,00:00:00,05:51:44,04:51:34,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
11,Isabel Stuhr,779,F 45,GER,00:00:00,06:14:35,04:27:51,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
135,Franz-Ludwig Ewald,2220,M 50,GER,00:00:00,05:57:54,05:02:06,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
174,Piotr Wisniewski,2163,M 45,POL,00:00:00,06:05:28,04:44:03,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
213,Konstantin Medvedev,1413,M 35,RUS,00:00:00,06:19:11,04:31:50,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
46,Steffen Rieder,2524,M 55,GER,00:00:00,05:57:59,04:23:52,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
175,Carsten Jaekel,1991,M 45,GER,00:00:00,05:58:43,05:07:55,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
12,Alexandra Tront,328,F 25,GER,00:00:00,06:44:54,04:02:26,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
176,Jaroslaw Swiatek,432,M 45,POL,00:00:00,05:48:15,05:12:33,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
177,Pawel Blazutycz,1889,M 45,POL,00:00:00,05:59:47,04:47:39,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
214,Wouter Ver Eecke,1520,M 35,BEL,00:00:00,06:03:07,04:35:36,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
210,Nicolas Gruel,1659,M 40,FRA,00:00:00,06:06:42,04:41:09,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
215,Danel Saez,1470,M 35,ESP,00:00:00,06:01:16,04:43:22,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
211,Pavel Pálka,1766,M 40,CZE,00:00:00,06:20:52,04:03:00,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
216,Christoph Braun,1269,M 35,GER,00:00:00,05:45:54,05:07:57,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
88,Mikkel Christian Larsen,951,M 25,DEN,00:00:00,05:45:03,04:56:41,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
154,Krzysztof Skalbania,1204,M 30,POL,00:00:00,05:53:37,04:56:58,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
212,Philipp Storm,1824,M 40,GER,00:00:00,06:09:22,04:38:57,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
12,Sandra Dolby,755,F 45,USA,00:00:00,06:29:34,04:21:52,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
155,Sören Wilsdorf,1236,M 30,GER,00:00:00,06:21:20,04:22:51,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
156,Bjoern Sandig,1189,M 30,GER,00:00:00,05:46:34,05:11:28,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
89,Sebastian Nier,963,M 25,GER,00:00:00,05:44:05,04:55:19,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
157,Robin Dans,355,M 30,BEL,00:00:00,05:45:59,05:08:03,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
158,Carel Jacobs,1106,M 30,RSA,00:00:00,06:25:48,04:17:09,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
136,Ludovic Bonnet,2186,M 50,FRA,00:00:00,05:59:01,04:34:18,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
213,Martin Karl,1695,M 40,GER,00:00:00,05:40:39,05:13:11,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
217,Santiago Inverso,1361,M 35,BEL,00:00:00,05:51:30,04:58:10,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
218,Thomas Damman,1292,M 35,NED,00:00:00,06:16:07,04:20:55,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
219,Mario Becker,1255,M 35,GER,00:00:00,06:10:01,04:28:59,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
137,Marc Zantinge,2438,M 50,NED,00:00:00,05:52:09,05:00:28,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
15,Silke Roßkopf,170,F 40,GER,00:00:00,06:17:53,04:26:53,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
178,Patrick Fuy,544,M 45,GER,00:00:00,05:56:16,04:52:06,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
179,Damien Vico,2144,M 45,BEL,00:00:00,05:55:32,04:52:23,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
214,Sven Eckhoff,1633,M 40,GER,00:00:00,06:02:03,04:22:38,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
