Place,Name,Bib,Division,Nation,Swim,Bike,Run,Race,Date,Location
129,Carlos Fernandez,1651,M 40-44,MEX,05:26:43,04:57:17,10:36:36,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
147,William Jackson,1959,M 45-49,USA,05:19:39,04:57:25,10:36:40,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
15,Carol Kester,951,F 50-54,USA,05:08:19,05:12:24,10:36:42,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
13,Kim Darden,2480,M 60-64,USA,05:21:16,05:04:17,10:37:11,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
66,David Rundio,1200,M 25-29,USA,05:45:40,04:39:21,10:37:11,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
30,Maria Jose Benita,694,F 40-44,MEX,05:45:18,04:36:14,10:37:20,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
130,Jason Linke,1704,M 40-44,USA,05:44:36,04:42:23,10:37:29,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
131,Chris Heckert,1681,M 40-44,USA,05:18:45,05:04:23,10:37:37,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
148,Colin Raymond,267,M 45-49,USA,05:20:35,05:09:08,10:37:40,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
136,Sean Heckert,1450,M 35-39,USA,05:18:41,05:04:24,10:37:42,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
149,Arturo Gonzalez De Aragon,1931,M 45-49,MEX,05:24:41,04:58:02,10:37:46,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
150,Matthew Gruse,1935,M 45-49,USA,05:44:05,04:30:21,10:37:51,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
35,Julie Sadar,667,F 35-39,USA,05:20:55,05:04:53,10:38:19,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
86,Mike Kirk,2239,M 50-54,USA,04:46:52,05:40:04,10:38:28,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
137,Jacob Villegas,1573,M 35-39,CRI,05:25:21,04:55:03,10:38:35,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
151,Robert Bazata,1843,M 45-49,USA,05:13:36,05:13:37,10:38:56,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
76,Dave Morrill,1310,M 30-34,USA,05:13:29,05:15:16,10:38:57,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
87,Jonathan Baker,2674,M 50-54,USA,05:50:19,04:32:08,10:39:14,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
152,Gord Geerdes,1926,M 45-49,USA,05:39:20,04:48:31,10:39:15,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
132,Joshua Seidman,1776,M 40-44,USA,04:56:58,05:31:15,10:39:23,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
36,Judy-Ann Parke,164,F 35-39,BHS,05:38:50,04:44:34,10:39:29,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
31,Kirsten Priddy,770,F 40-44,USA,05:43:56,04:43:57,10:39:30,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
88,Kevin Gee,2198,M 50-54,USA,05:19:44,05:03:01,10:39:31,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
153,Bennie Sullivan,2092,M 45-49,USA,05:52:04,04:33:49,10:39:31,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
154,Joe Aschenbrenner,1833,M 45-49,USA,05:12:59,05:10:29,10:39:38,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
155,Cory Redifer,2049,M 45-49,USA,05:37:16,04:46:53,10:39:47,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
138,Daniel Melcher,212,M 35-39,USA,05:48:34,04:42:53,10:39:52,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
156,Scott Redmond,2050,M 45-49,USA,05:10:07,05:15:37,10:40:01,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
5,Susan Delisle,1011,F 55-59,USA,05:48:04,04:36:52,10:40:10,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
16,Claire Weiss,2696,F 25-29,USA,05:30:53,04:53:16,10:40:12,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
89,Igor Karadimov,2234,M 50-54,USA,05:17:22,05:11:58,10:40:22,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
18,Bryan Talbert,1110,M 18-24,USA,06:00:33,04:29:27,10:40:28,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
157,Peter Ort,71,M 45-49,USA,06:06:14,04:23:22,10:40:32,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
